x_center,y_center,width,height,confidence,Class_0_Probability,Class_1_Probability,Class_2_Probability,Class_3_Probability,Class_4_Probability,Class_5_Probability,Class_6_Probability,Class_7_Probability,Class_8_Probability,Class_9_Probability
310.651,74.9425,47.6954,75.2236,0.738025,221.002,49.3489,237.18,49.0998,228.367,59.7031,220.709,66.4721,237.343,66.2476
311.191,74.9513,48.1885,74.9598,0.883754,264.316,59.0319,283.821,58.6754,273.342,71.3301,264.21,79.6698,284.183,79.4249
311.072,75.1106,48.1652,75.1762,0.822928,246.513,54.7566,264.596,54.4855,254.761,66.3649,246.029,74.3664,264.801,74.1018
310.654,74.9459,47.6175,74.979,0.742878,222.49,49.6309,238.709,49.3903,229.871,60.0452,222.127,66.8202,238.908,66.6322
311.109,74.9186,47.9454,74.9455,0.889617,266.054,59.4124,285.639,59.0655,275.107,71.7738,265.862,80.1874,286.082,79.9762
311.057,75.0945,47.9987,74.869,0.832772,249.448,55.3714,267.689,55.1524,257.795,67.1781,248.924,75.1808,267.979,74.991
310.624,74.8084,47.7718,74.935,0.747506,223.857,49.9176,240.11,49.6997,231.281,60.4381,223.471,67.177,240.317,66.967
311.096,74.9441,48.2347,75.0628,0.897864,268.54,59.9676,288.249,59.6094,277.659,72.4047,268.334,80.8736,288.621,80.5968
311.062,75.1095,48.0583,74.4528,0.840784,251.863,55.8882,270.183,55.7156,260.261,67.7862,251.305,75.7789,270.468,75.592
310.825,74.6908,48.4844,75.1248,0.886546,265.055,59.0706,284.55,58.6466,274.026,71.1393,265.186,79.9565,285.085,79.5363
310.954,74.6645,47.8791,75.3664,0.890964,266.521,59.2723,285.857,58.7803,275.36,71.5644,266.282,80.4287,286.406,79.9546
310.994,74.7747,48.1328,75.4368,0.892796,267.04,59.0977,286.7,59.0784,276.206,71.6946,267.1,80.5516,287.376,80.4447
