x_min,y_min,x_max,y_max,confidence,class
143.0706,126.36232,181.06874,174.9066,0.83812326,151
251.74841,123.07767,296.17914,176.78033,0.85510045,263
37.456886,128.53302,77.81928,181.1903,0.79145026,50
38.0,128.32982,77.46945,180.96336,0.87030274,50
143.46744,127.40292,180.91055,175.47473,0.8452753,151
252.23894,124.52756,296.2365,176.8187,0.8102186,264
355.10477,126.85179,396.08286,181.20735,0.7950642,367
355.61697,126.84024,396.36685,181.64224,0.77230936,367
461.02252,130.7084,503.35767,188.50839,0.714263,471
564.571,132.65402,603.9722,183.39703,0.7770163,575
564.5895,132.22786,604.29236,183.37547,0.8335951,576
36.928402,229.44424,77.05945,280.84888,0.7694805,44
139.5274,232.92987,181.52118,286.39667,0.7654286,149
139.53192,233.21275,181.52097,287.47537,0.8286239,149
249.4222,237.48517,292.27872,290.4895,0.7414473,259
359.22726,232.91676,401.39517,287.51135,0.86380637,373
463.758,243.40318,498.7931,287.61057,0.7041255,473
569.35205,232.73486,612.3694,284.32776,0.8168581,586
569.66437,232.12276,611.86664,284.78094,0.7623828,585
249.23387,237.33446,292.59726,292.0841,0.80145323,259
463.77756,243.91129,497.82205,288.3312,0.7922098,473
463.6264,243.4551,498.32214,288.46115,0.8581847,473
245.80435,334.25262,283.79507,385.65802,0.7175686,255
351.71844,334.99454,388.78143,384.77127,0.8335197,358
33.94693,341.5527,74.29956,394.18192,0.8002526,47
143.14673,337.79224,177.5534,386.17273,0.7931417,152
143.37798,337.42346,177.77245,386.45215,0.83669364,152
245.96147,335.0782,283.4455,386.81323,0.8095043,255
351.9335,335.23624,388.56436,384.4774,0.84157825,358
465.47623,343.70596,501.10776,389.25137,0.8840497,474
573.54224,338.61722,613.93176,388.4653,0.83207005,588
574.82544,338.92215,612.63367,388.24832,0.8580621,588
33.525352,341.74374,75.3558,394.53098,0.80409145,46
464.84982,342.87527,501.4117,390.55124,0.8403378,474
568.71783,436.77426,609.3112,493.12546,0.7334698,579
32.192986,442.2787,74.245735,497.3236,0.7972821,44
247.1023,446.6123,284.67078,498.40582,0.82667863,258
354.5993,442.27875,391.72327,495.45306,0.8533694,362
569.0368,437.3181,609.63214,493.27924,0.8109279,580
32.73907,444.4145,74.04886,498.30402,0.7441992,43
140.49559,450.37967,181.51485,501.1472,0.81798476,153
141.17055,450.6671,179.68184,500.54547,0.844779,154
247.27095,447.16412,284.7589,499.55475,0.8436962,257
458.61203,448.73062,498.87167,505.64725,0.79071677,469
457.90738,448.863,498.43027,505.5668,0.74681765,469
37.84458,128.44907,77.4257,180.45444,0.8615959,50
38.080505,128.56985,77.274124,180.21967,0.81727755,50
142.93896,125.68671,181.02945,175.72287,0.8562815,151
143.10327,125.95126,181.34851,175.58215,0.8529117,151
250.87798,123.349106,296.4284,178.01848,0.87035257,263
251.35391,123.281494,296.2515,177.97516,0.8754156,263
355.12045,124.83657,396.05746,180.88107,0.8515366,367
460.62885,129.45834,503.7198,188.88223,0.8421358,471
564.7301,133.12227,604.0117,184.45232,0.8547488,576
37.906628,128.33261,77.49214,180.6773,0.8315436,50
460.65176,129.58076,503.9548,188.71657,0.83506703,471
564.791,133.3491,604.0144,184.45168,0.85916173,576
36.997017,230.21255,76.23944,280.83524,0.8572413,44
359.29745,232.98563,400.92868,288.01395,0.824448,374
569.3501,231.4912,612.37476,284.2504,0.76211447,586
37.090527,230.16676,76.195145,280.96036,0.8565101,44
139.14662,232.51262,182.29887,288.11676,0.8474211,149
139.44827,232.66754,182.09518,287.9463,0.8492254,149
248.633,238.10147,292.18024,292.43478,0.87076324,259
248.93596,237.92218,292.4867,292.43463,0.8760119,259
359.33725,233.17924,400.65482,287.8376,0.8608036,374
359.5803,233.00757,400.4559,287.8933,0.85160017,374
463.61014,243.78955,498.71896,288.86566,0.85392565,473
463.6198,244.03691,498.789,288.87463,0.8518399,473
569.3628,231.98988,612.3793,284.06705,0.8256844,586
569.69403,232.21909,612.21246,284.16708,0.7837238,586
463.83347,243.72475,498.79202,289.11697,0.7202111,473
33.66455,341.69016,74.57815,395.50485,0.865771,46
142.77722,336.18094,178.36737,386.79434,0.85774964,152
142.64624,336.594,178.4101,386.77594,0.85582477,152
245.76875,335.06332,283.46002,386.2513,0.85889924,255
351.94632,335.08905,388.76236,384.55054,0.8539279,358
351.96457,335.0475,389.1376,384.43988,0.84774977,358
464.9324,343.48572,501.36557,390.49463,0.8648979,474
573.87964,339.35944,612.8324,388.83575,0.8429999,588
574.03986,339.29538,612.8687,388.74747,0.8470594,588
33.87771,341.91196,74.44022,395.1141,0.8634322,46
465.0564,343.63318,501.29303,390.56586,0.86396843,474
574.3017,338.99777,612.9311,388.6165,0.78374994,588
31.480453,441.5754,73.98085,497.50455,0.7808388,43
353.90958,442.96555,392.31772,497.0624,0.7705553,361
568.6729,436.5737,609.0892,494.68997,0.861324,580
31.981434,442.48773,73.54489,496.6485,0.83369154,43
31.949001,442.36093,73.72771,496.62704,0.8481299,43
140.8266,450.719,179.73337,500.2431,0.84632933,154
140.88312,450.60736,179.7934,500.4967,0.853251,154
246.70255,446.80194,284.95383,499.97345,0.8629506,257
246.81558,446.7492,285.05087,499.9536,0.82779485,258
354.24518,443.0822,392.0589,497.0771,0.8424559,362
354.01578,443.3065,392.53934,496.96072,0.8389163,362
458.58688,447.7776,499.51382,506.88153,0.83792484,469
458.4882,448.0428,499.50266,506.5595,0.80598897,469
568.6381,436.50076,609.10016,494.4935,0.86299884,580
568.5328,437.4723,608.91266,494.57574,0.73945665,580
246.77773,447.36624,285.11728,500.39133,0.7354915,257
458.38654,448.54385,499.31775,506.84708,0.731468,469
37.833244,128.3711,77.3839,180.50705,0.86406434,50
38.17722,128.63782,77.18083,180.11084,0.82160085,50
143.04642,125.65662,180.98404,175.7381,0.865386,151
143.09688,125.87858,181.28789,175.60141,0.860067,151
250.98538,123.20873,296.37997,178.18651,0.8786028,263
251.42545,123.21236,296.16385,177.99059,0.8764591,263
355.1877,124.80557,395.929,180.93271,0.8551269,367
460.7143,129.39983,503.58838,188.96706,0.8476017,471
564.73016,133.14134,604.0009,184.45064,0.8588773,576
38.055527,128.37021,77.35556,180.71982,0.83400935,50
460.70044,129.53088,503.91266,188.70966,0.8395044,471
564.8818,133.33559,603.9462,184.48766,0.86277086,576
37.020023,230.28761,76.191284,280.766,0.86304075,44
359.38605,233.02481,400.82294,287.9761,0.8262304,374
569.5214,231.57983,612.206,284.13458,0.7800033,586
37.106544,230.17044,76.114204,280.95392,0.8607782,44
139.25848,232.41733,182.21802,288.2012,0.8580903,149
139.47665,232.59464,182.04022,287.95676,0.859581,149
248.68217,238.04486,292.08597,292.43378,0.8747003,259
249.0219,237.90916,292.41595,292.3904,0.88083565,259
359.37155,233.10541,400.53885,287.9043,0.861874,374
359.55838,232.9881,400.42142,287.85828,0.8572037,374
463.70184,243.87033,498.68958,288.76315,0.860152,473
463.61584,243.9933,498.753,288.91248,0.8565373,473
569.4111,231.9134,612.2635,284.0702,0.8293122,586
569.7611,232.13776,612.1389,284.14984,0.7895924,586
463.82745,243.72675,498.78772,289.14673,0.7185978,473
33.72267,341.79498,74.468994,395.40204,0.8741998,46
142.87386,336.24152,178.29118,386.68604,0.8656784,152
142.72423,336.5982,178.3412,386.7829,0.8579939,152
245.80057,335.04507,283.3995,386.25394,0.8575264,255
352.04718,335.1191,388.72943,384.4955,0.85869807,358
351.98935,334.99866,389.0721,384.466,0.85550034,358
464.92758,343.53262,501.30533,390.4742,0.8669686,474
574.03174,339.47208,612.7484,388.7443,0.85204965,588
574.011,339.24695,612.7842,388.82758,0.8503335,588
33.933456,341.807,74.32962,395.21143,0.8662739,46
465.09943,343.6623,501.23438,390.54773,0.8643391,474
574.3685,338.9769,612.8601,388.6666,0.77798766,588
31.538513,441.58334,73.8466,497.47635,0.7890602,43
354.0019,443.04114,392.1184,496.93512,0.7746484,361
568.7576,436.5242,609.02423,494.70694,0.8687474,580
32.08742,442.4427,73.47443,496.72333,0.84073824,43
31.92444,442.1729,73.63332,496.80878,0.85378975,43
140.91995,450.72464,179.67838,500.15067,0.8571815,154
140.83595,450.51126,179.75468,500.58322,0.85922843,154
246.7257,446.73172,284.92664,499.99844,0.8604115,258
246.94174,446.83026,284.93173,499.81677,0.83103377,258
354.41534,443.0704,391.94183,497.08463,0.8498338,362
353.9577,443.17313,392.40472,497.1005,0.8482912,361
458.74475,447.75195,499.36255,506.84357,0.8500007,469
458.53638,447.90466,499.42548,506.68896,0.8143634,469
568.6644,436.44705,609.0145,494.52365,0.86682796,580
568.5627,437.50217,608.8675,494.4714,0.7484622,580
246.92047,447.32205,284.9843,500.42166,0.7418208,257
458.4517,448.37534,499.2003,506.9387,0.74581283,469
37.751648,128.27036,77.43216,180.52884,0.8722765,50
38.14132,128.39862,77.26594,180.17307,0.8207699,50
142.9581,125.646355,181.06473,175.72302,0.8722041,151
143.05597,125.77151,181.3645,175.52095,0.8688463,151
250.87825,123.08624,296.44125,178.16827,0.8829314,263
251.34616,123.14674,296.29056,177.99922,0.8797511,263
355.11148,124.756454,396.0129,180.88347,0.8634786,367
460.62494,129.35645,503.61212,188.97592,0.8509369,471
564.6445,133.028,604.0766,184.56969,0.86089563,576
37.899246,128.56049,77.43151,180.65292,0.8448919,50
460.57953,129.34975,504.00604,188.65178,0.843935,471
564.75195,133.41321,604.0021,184.38324,0.86749023,576
36.87774,230.11816,76.30319,280.87457,0.86223495,44
359.30167,232.98044,400.87326,288.07816,0.83054227,374
569.494,231.65143,612.2501,284.16992,0.7887482,586
36.960724,230.20624,76.171524,280.88266,0.86332583,44
139.24222,232.426,182.19919,288.12595,0.86789584,149
139.37524,232.52142,182.15308,287.9308,0.866714,149
248.59653,237.93004,292.15298,292.36887,0.8818399,259
248.87325,237.89406,292.4696,292.39874,0.8831607,259
359.25363,233.01172,400.62143,287.9654,0.8683835,374
359.4087,232.91312,400.5204,287.9385,0.86795557,374
463.61252,243.73566,498.76706,288.79858,0.8659531,473
463.54465,243.94275,498.79977,288.8487,0.8670379,473
569.28436,231.71341,612.2941,284.18283,0.83544403,586
569.681,232.07643,612.2003,284.1474,0.8033176,586
463.68835,243.67383,498.9312,289.27814,0.7363099,473
33.577156,341.61667,74.63051,395.53323,0.87344044,46
142.77,336.08368,178.37819,386.78174,0.8696573,152
142.68707,336.57123,178.43918,386.7602,0.8638945,152
245.70786,335.0148,283.42142,386.1514,0.8657003,255
351.96548,335.05374,388.84897,384.51163,0.8655473,358
351.93048,334.94916,389.09735,384.37103,0.8641166,358
464.86368,343.51053,501.3441,390.49655,0.8697504,474
573.91296,339.32108,612.8721,388.82413,0.8617557,588
573.98145,339.22488,612.838,388.79654,0.85528487,588
33.761726,341.7449,74.47439,395.1976,0.87145674,46
464.96133,343.58905,501.32407,390.54852,0.8696698,474
574.2456,338.80908,613.0231,388.75873,0.78950286,588
31.425877,441.53006,73.94513,497.48227,0.8030123,43
353.85318,442.9677,392.296,496.9995,0.78351897,361
568.6643,436.47217,609.0802,494.72925,0.8715658,580
32.037613,442.48883,73.45441,496.72046,0.8531107,43
31.809383,442.08694,73.74852,496.73325,0.8678679,43
140.76216,450.60565,179.826,500.24884,0.86740845,154
140.75545,450.48334,179.7495,500.432,0.8670324,154
246.63313,446.67654,284.94388,499.94846,0.86963916,258
246.88342,446.7438,285.0031,499.92197,0.8372188,258
354.3434,443.14154,391.9418,497.04114,0.8542429,362
353.88754,443.0837,392.44675,497.00443,0.8636642,362
458.66113,447.6262,499.46088,506.8929,0.8483766,469
458.40723,447.8562,499.4698,506.73987,0.8233598,469
568.58734,436.4715,609.0015,494.4666,0.87300944,580
568.42065,437.42386,608.9658,494.59933,0.7570015,580
246.81013,447.38614,285.03162,500.45108,0.75594777,258
458.38275,448.3011,499.20886,507.00842,0.7536531,469
460.42102,128.55714,504.03168,188.77074,0.7298753,471
