Box_X,Box_Y,Box_Width,Box_Height,Confidence,Class_ID
465,343,36,46,0.898308,2
248,237,44,55,0.897554,8
250,123,46,55,0.897194,8
33,341,41,54,0.888947,9
568,436,41,58,0.887177,2
142,125,39,50,0.886519,8
37,128,40,52,0.886467,9
142,336,36,50,0.883751,7
246,446,38,53,0.883677,9
359,233,41,54,0.882515,2
139,232,43,56,0.881994,7
31,442,42,54,0.881985,9
564,133,39,51,0.88143,2
140,450,39,50,0.881364,9
463,243,35,45,0.881148,2
245,335,38,51,0.879765,7
351,335,37,49,0.879581,8
355,124,40,56,0.877721,8
353,443,39,54,0.877627,9
37,230,39,50,0.877598,7
573,339,39,49,0.875715,2
460,129,43,59,0.86443,2
458,447,41,59,0.864088,9
569,231,43,53,0.849107,2
